Restaurant,Month,Week No.,Day,Date,Review Title/URL,Review,Rating Score,Rating,Responded?,"Response 
Date","Days between 
response"
Bread Street Kitchen,Dec-15,Week 51,Wednesday,16/12/2015,"""Good food and enjoyed good service""","Entered the restaurant and was greeted by NOT the friendliest of reception. I made reservations for a business lunch for a party of 8, so was a bit apprehensive with service standards with this initial ""greeting"". As it turned out, the food was very enjoyable and we had 2 terrific Filipino staff that took good care of all of us. This place is good for casual dining or business meals. Good location and nice view of the bay.",4-May,Very Good,Yes,23/12/2015,7
Bread Street Kitchen,Dec-15,Week 51,Friday,18/12/2015,"""Nice setting with great service""",Went for lunch with 3-course set at $48 per person. Food served were good and different. Service was excellent and many servers assisting all times.,4-May,Very Good,Yes,23/12/2015,5
Bread Street Kitchen,Dec-15,Week 51,Friday,18/12/2015,"""Ok food with great service""",Visit the Bread Street kitchen today. I must admit we had big expectations as our experience of Ramsey restaurants we have been to is excellent. As always the service was excellent. And food timing was good. Our only disappointment was the food. Don't get me wrong it is good quality but nothing exceptional. There is nothing to suggest it is a Ramsey restaurant bar the service quality. We had the big breakfast and lobster roll. No drinks. Total bill $62.00.,3-May,Average,Yes,23/12/2015,5
Bread Street Kitchen,Dec-15,Week 51,Saturday,19/12/2015,"""Great visit""",We went there for lunch; it was kinda hard to get a table but the food was excellent. Highly recommended!,5-May,Excellent,Yes,23/12/2015,4
Adrift,Dec-15,Week 51,Sunday,20/12/2015,"""Disappointing ""","This restaurant looked promising and has great natural light if you get a window seat at lunch. We liked it enough to have two lunches here though the conclusion in the end was that the food is very average. The king crab melt, the hamachi shabu shabu and rice cakes were competent but underwhelming. The second time we ate here we ordered a a roast chicken dish that looks to have been removed from the menu - a good decision by the restaurant as the chicken was served with its feet on. When we enquired if that was a mistake, we were assured it was the intended presentation. Service could do with some polishing - you will likely get asked in quick succession by different waiters over the course of the meal whether you have ordered/are enjoying your meal/need anything else. If you are happy to have a meal in a pretty looking place with average food, this can be added to the list of ever growing Singapore high end restaurants set up in the same vein.",3-May,Average,Yes,6/2/2016,48
Adrift,Dec-15,Week 52,Monday,21/12/2015,"""Great food.""","Can't speak for the bad reviews but great restaurant and good value. We had the chefs plate selection with matching drinks and whilst value is relative, the quality of the food, the fact that there were 7 great courses with matched wines and the general quality of service meant that we thought we had good value and a great meal. A special mention must go to Mark whose service was impeccable.",5-May,Excellent,Yes,5/2/2016,46
Bread Street Kitchen,Dec-15,Week 52,Tuesday,22/12/2015,"""Very good but not quite excellent""","I have been to this restaurant twice. On both occasions the service was good, the food was good and the bill was higher than expected. Obviously they are in prime property in Marina Bay Sands but the prices they charge there are better restaurants. The food and service are good but the price I would expect better. Reliably good, but not the best value for money. Ok, if you're on an expense account but if you're looking for value for money there are many other places.",4-May,Very Good,Yes,29/12/2015,7
Bread Street Kitchen,Dec-15,Week 52,Thursday,24/12/2015,"""Most amazing food!""",The food in this restaurant is to die for! Absolutely recommend the scallops and the lamb chops! My boyfriend and I make jokes that we are no longer able to enjoy food since nothing compares to the quality and perfection of this restaurant!,5-May,Excellent,Yes,31/12/2015,7
Bread Street Kitchen,Dec-15,Week 52,Friday,25/12/2015,"""Great service and nice food""","We went for our Christmas dinner and made reservation in advance. The service staff was attentive and friendly, they know what's in their menu and this is important. Food wise, I highly recommended the fish and chips. Fish was at the right thickness and does not crumble when you cut through it. We also ordered their Irish steak rib-eye which was so so to be honest. We tried their dessert, the pie with creme fraiche ice cream which was again average.",3-May,Average,Yes,29/12/2015,4
Adrift,Dec-15,Week 52,Saturday,26/12/2015,"""Great Restaurant""","Good Food, Great Service. Chef David Myers went out to greet each table, truly made a difference....",5-May,Excellent,Yes,5/2/2016,41
Adrift,Dec-15,Week 52,Saturday,26/12/2015,"""Elegant and classy brunch""","Adrift at the MBS hotel has a weekend brunch at $88++.That comes without any beverages except tapped water. But it was worth it. Highest quality seafod including oysters and lobster. There are salads and breads. Selection was limited but quality was excellent. You get a mains and a dessert alacarte included which you order. The steak and eggs are fantastic and so was the ham and egg crepe. Then there were several side dishes which I understand are changed. For the desserts, the crepe and parfait were heavenly. It was quiet and we had the entire restaurant to ourselves with very attentive and good service.",4-May,Very Good,Yes,5/2/2016,41
Bread Street Kitchen,Dec-15,Week 52,Saturday,26/12/2015,"""A restaurant worth visiting""","We wen for lunch as a very big group ..16 persons. There were some confusion about the pre-ordered set lunch menu but the staff were able to straighten that out quickly. Food was good and creative and I love my fish and chip.Black Cod was also excellent. When 16 persons all enjoyed their food, it says a lot about this restaurant. I would love to return to this restaurant when I return to Singapore again.",5-May,Excellent,Yes,30/12/2015,4
Bread Street Kitchen,Dec-15,Week 52,Sunday,27/12/2015,"""Amazing""",The restaurant has a good position and looks out across the bay we had a very relaxing meal. I chose the slow cooked belly pork with a side of mashed potato. The pork was cooked perfectly and was amazing.,5-May,Excellent,Yes,30/12/2015,3
Bread Street Kitchen,Dec-15,Week 52,Sunday,27/12/2015,"""A pleasant surprise with no expectations""","We stumbled upon Bread Street Kitchen on Christmas Day whilst looking for a light lunch venue in the Marina Bay Sands shopping centre. The manager was able to offer us a great able overlooking the marina despite being very busy on Christmas Day. The service was very good, though we were only staying for an hour. Our choices of food were good and though a bit more expensive than other restaurants, the location more than compensated for the slightly higher costs. The only criticism would be that chocolate fondant might be better served with vanilla rather than mint-choc-chip icecream. Would certainly return again when visiting Singapore, though probably for a more substantial meal than the light lunch we enjoyed.",5-May,Excellent,Yes,30/12/2015,3
Bread Street Kitchen,Dec-15,Week 53,Monday,28/12/2015,"""Bravo Gordon!""","We ""dined"" (15:30 pm) at this restaurant and it was one of the best choices of the day! very good burgers but the fondant was SPECTACULAR!",5-May,Excellent,No,,
Bread Street Kitchen,Dec-15,Week 53,Wednesday,30/12/2015,"""Small yet so intimate!""","Every trip to singapore I would see the billboards promoting Gordon Ramseys restraunt and I thought ""gee that sounds a bit too fancy for me"". But when looking at romantic, intimate places my wife and I could go to for lunch I said ""let's try it!"" I was super excited to get a reservation and our adventure started! Firstly to get to the restraunt requires a very long walk through the marina bay sand shoppe which would normally irritate me...but this shopping centre is a tourist Mecca, it's array of speciality posh stores and even a waterway where you could be taken via rowboat through the shopping centre! Plus the long walk certainly stirs up the hunger juices! I was quite surprised when walking in to the restraunt at how small it was. For a ""celebrity restraunt"" at such a location you'd expect a large dining area, but no it was very small. Yet very intimate, with a beautiful city view which made us feel like we were the only people there (plus it was very empty). Firstly the only negatives I have (hence 4 not 5 stars) was some of staff service. I had read some pretty bad reviews on the staff on here and online and while they were extremely friendly and helpful they did do some interesting things. Firstly after ordering off the set menu, our entrees arrived promptly which was a delight yet there was a 20 minute break before the waitress came over and said ""I'm so sorry the kitchen didn't get your docket so it'll be 5 minutes for the food"". How can they serve the entrees without the docket hmm? The second course came about 20 minutes later (it was a pie so duh it wasn't going to take 5 mins to make). Also when we asked for the bill the same lady said ""I'm sorry we put you down for the 2 course set meal instead of the 3 course set, so you get the desserts for free"" which was cool but...how do you mix that up! Plus the place was super empty so it shouldn't have taken so long to bring the food out or misplace the docket. On the positive side, love the decor, one side your looking into the shopping centre at a big wall with huge photos of old singapore (I liked it) while the wife had the city view. The tables were a good space apart so when the table next to us was taken we were able to communicate without being disturbed by the people next to us. The food was great! Especially the turkey curry pie which was unbelievable! The staff were ver polite and overall I loved the whole time there!",4-May,Very Good,Yes,2/1/2016,3
Bread Street Kitchen,Dec-15,Week 53,Thursday,31/12/2015,"""Great Dinner""",We were lucky to get a reservation at the restaurant for 4pm of Dec 31. It was really full as they were busy preparing for new year dinner. We ordered the slow roasted delly porkchops (so tender and tasteful with a crunch tasty top)and shepherd pie (juicy lamb and creamy potato). Both were great. Our side order of onion rings was great too. We ordered 2 desserts recommended by the staff which were also very good. Service was efficient and friendly. The place was really nice. It surpassed our expectations. Great job Bread Street Kitchen.,5-May,Excellent,Yes,31/12/2015,0
Bread Street Kitchen,Dec-15,Week 53,Thursday,31/12/2015,"""It's an experience, not just another meal""","It was excellent from the canapÇs all the way to the desserts. The only exception was the main course, insane portion (feeds about 3.5 adults) and was way above average in taste but nothing to write home about. Be prepared for a journey of flavours, I won't be forgetting this meal anytime soon.",4-May,Very Good,Yes,31/12/2015,0
Bread Street Kitchen,January,Week 1,Friday,1/1/2016,"""nYE Celebration""","What a great spot for our NY Eve celebration. The staff were so good to us but the stand out was Jenna the assistant manager. She was amazing and so welcoming. We had some amazing food but the stand outs were the Fish and Chips, the Pork Sliders and the burger were to die for. The risotto was a little too salty. What a great venue and what great staff. Loved it.",5-May,Excellent,Yes,2/1/2016,1
CUT,January,Week 1,Friday,1/1/2016,"""Ottima qualitÖ ma non altrettanto rapporto qualitÖ prezzo ""","Definitely one of the best restaurants in town for meat. very pretty indoor location although it located in a shopping center. Excellent service. excellent quality. It is worth to eat US beef, Australian and in my opinion even better the Japanese. Also delicious appetizers especially the crab. Also very good desserts. I would say the price-quality ratio too low. First, it states that it is the first time I give an adverse opinion in the value for money in a restaurant of this level despite (without wanting to look modest but as you can deduce from my profile) I've tried many. Secondly that negative opinion comes from the fact that I too think that a meat dish (although the best quality in the world), cooked simply grilled and / or to the plate, it costs (about 200 EUR) more than twice a dish prepared by a chef three Michelin stars (whose second average is around 80 to 100 ?) !! Despite all of this I recommend it anyway because as is well known, there are certain things ""beautiful"" that if one wants to have or should try fairness regardless of the price or less.",4-May,Very Good,No,,
CUT,January,Week 1,Friday,1/1/2016,"""Dai Wolfang aprilo anche a Milano""","That said, if there was in Milan, I would go once a week. The meat and especially as the cook is unrivaled. The bar has an endless list of liquors and the two bartenders are fantastic. A beautiful place, where you're fine.",5-May,Excellent,No,,
db Bistro & Oyster Bar,January,Week 1,Friday,1/1/2016,"""Bistro com assinatura""",Good food in pleasant surroundings (next to the osteria / pizzeria mozza) at the mall at Marina Bay Sands. Good confit de canard. Wine by the glass a bit expensive (between 20:28 Singapore dollars).,4-May,Very Good,No,,
Osteria Mozza,January,Week 1,Friday,1/1/2016,"""Horrible service we almost was late for NYE""","We came at 9.30 and by the 11.20 we still didn't get all set menu,2 hours of waiting for ridiculous small potions and ridiculous crazy price for one person set menu was 230$ non alcohol included and long waiting time, we almost got late to the party and had to skip our dessert, horrible service for the restaurant which trying to compete with other better restaurants around",1-May,Terrible,No,,
Osteria Mozza,January,Week 1,Friday,1/1/2016,"""Fair price for a family meal""","It still surprises me that it is a celebrity restaurant. Pizzas are very nice, but even my kids say that they are not amazing. Still, it is a very good option for a fine pizza. Do try the Antipasti options.",4-May,Very Good,No,,
Osteria Mozza,January,Week 1,Friday,1/1/2016,"""Can be better """,The interior is nice and they let us enter before the booking. My friends got a set menu. Nice food but very little portion and very strange fact I didn't take set menu but I eaten more and pay less. Don't go during festivity time they are very slow.,3-May,Average,No,,
Pizzeria Mozza,January,Week 1,Friday,1/1/2016,"""Good pizza!""",We didn't realize there was a celebrity chef at this restaurant until later but given that another famous restaurant had a hour wait we went to this one and got right in my. We had a very nice server and our margherita pizza was good. We ordered wine but it never came out and so they brought it to us as we were planning to leave for free. It was a good meal.,5-May,Excellent,No,,
Pizzeria Mozza,January,Week 1,Friday,1/1/2016,"""very satisfied""","Never failed, always I like to go for basic Italian food, ill go here. Pizza is the best i,ve tried, and the selections of Antipasti are original and tastely . To mention the cauliflower fritti and chicken liver toast for example The flip side is the ambiance, noisy and full of kids ( but i understand is normal for this kind of places) Service is superb, attentive and knodlege Ill be keep coming back and recommend the place",4-May,Very Good,No,,
Sky on 57,January,Week 1,Friday,1/1/2016,"""Wow, Wow, Wow!""","The view and the service were really excellent and I would recommend to have dinner here while staying in Singapore. The food, as we only had the N.Y.Eve late light food menu was nice and tasty. Good presented with a good wine and champagne choice. Also the Gin choice including Monkey 47 was what I was looking for. Maybe some more Tonic choices would?d be an idea. Thank you I think Michael and team.",5-May,Excellent,No,,
Sky on 57,January,Week 1,Friday,1/1/2016,"""???????""","Once you can see it, but to take the price (28 Singapore dollars) wrong. Everyone looked leisurely 10-15 minutes ?",3-May,Average,No,,
Sky on 57,January,Week 1,Friday,1/1/2016,"""Sumptuous Food""",We couldn't afford to stay in Marina Bay Sands to see their 'Infinity Pool' so we decided to dine at 'Sky on 57'. It has a really great view of Singapore's skyline and the famous Gardens By The Bay. The buffet was superb with lots of choices. The service was excellent too. Couldn't wait to go back!,5-May,Excellent,No,,
Sky on 57,January,Week 1,Friday,1/1/2016,"""A dinner with love...""","We decided to spend a night at sky on 57 to celebrate a holiday dinner last tuesday. As it was may family's first time to witness the magnificent view of Singapore's skyline 200m above the ground, we were speechless... everything was amazing. Then we chose two of Chef Justin's signatured dishes ""foie gras xao long bao and crackling suckling pig"" ... It was awesome. For a Filipino to celebrate Holiday outside the country, it always makes us feel at home when a roasted pig is on the table, which sky on 57 perfectly gave us. The entire dinner was a top notch experience from the world class dishes to the wholehearted service of every staff. They made me and my family feel the best of the best.",5-May,Excellent,No,,
